word,2020-03-06,2020-03-09,2020-03-12,2020-03-13,2020-03-19,2020-03-20,2020-03-23,2020-03-25,2020-03-27,2020-03-31,2020-04-02,2020-04-03,2020-04-07,2020-04-09,2020-04-15,2020-04-17,2020-04-21,2020-04-24,2020-04-29,2020-05-01,2020-05-06,2020-05-08,2020-05-13,2020-05-15,2020-05-19,2020-05-20,2020-05-27,2020-06-24,2020-06-26,2020-08-06,2020-08-18,2020-09-01,2020-09-18,2020-09-28,2020-10-13,2020-10-27,2020-11-03,2020-11-17,2020-12-08,2021-01-12,2021-01-20,2021-02-03,2021-02-23,2021-03-08,2021-03-23,2021-04-14,2021-04-20,2021-05-11,2021-05-28,2021-06-18,2021-07-09,2021-07-13,2021-08-13,2021-09-14,2021-11-03,2021-11-12,2021-11-27,2021-12-14,2021-12-18,2022-01-14
daad,0.00465917449542761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026950850884803136,0.0,0.0,0.0,0.0,0.0,0.0
europees,0.0011455452386309843,0.0,0.0,0.0009803611069174893,0.0,0.0009645305930802982,0.0,0.0,0.007815402095332883,0.0,0.0,0.008864820044529525,0.002114407140835951,0.0022329720272379664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006528087620613727,0.0,0.00403984552753922,0.0,0.0009219934114670546,0.0006968733535005155,0.0,0.0,0.0,0.0,0.0006236003163315574,0.0,0.0,0.0008166484611334165,0.0007056945351903953,0.0,0.0019568986525755503,0.0013455318168956048,0.0006340015346479291,0.0,0.0006403124228182378,0.002316476521331353,0.0013619674661247859,0.004840798982348008,0.0007700258049729452,0.0015067531967578713,0.0022299947312016495,0.002680282128848136,0.0,0.0,0.0,0.0,0.0,0.0018126763530360226,0.0,0.0
voegen,0.0018106244383319446,0.01080454365108163,0.0,0.0,0.0,0.0,0.0026329797609209553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022195731989627532,0.0,0.0,0.0,0.001031815644014301,0.0,0.002128431304319355,0.0,0.0,0.0,0.0,0.002271058144299518,0.0,0.0,0.0009856493959599698,0.0,0.0,0.0,0.0,0.0,0.0,0.0010633594851024292,0.0,0.00107024764371038,0.0,0.0,0.001076348403894397,0.0,0.0012170864088234987,0.0,0.0,0.0,0.0011864953680272169,0.0,0.0,0.0,0.0010326217499861871,0.0,0.002125009389039099,0.0014817890582761429
via,0.0006690327685261429,0.000665386813384311,0.0,0.00028628014128023694,0.0003728197870412857,0.000563314787801712,0.00048644812851004413,0.0,0.0006520613097784837,0.0,0.002586832208814006,0.0005752578575077554,0.0015435964634136672,0.0006520613097784837,0.00032999589258384074,0.00031028838692762664,0.0,0.0005835052819881532,0.00044561489144533237,0.0,0.0006151056939849927,0.0,0.0,0.0,0.0003812598915098238,0.0,0.0,0.0017631549495454308,0.0008077076973937447,0.00040699493418673696,0.0007399907894304308,0.00020979120318903965,0.00021861858595527498,0.00022119289901453094,0.0005463019250828683,0.0,0.0,0.0007154207827501234,0.0006182201531950434,0.0017554094605498236,0.0005714437453479926,0.0009822886585359701,0.000740551813531591,0.0003954606647968294,0.00018698082734459583,0.00016911146849864415,0.00039771491940072013,0.0014135858785067562,0.0011242953983059032,0.0019799753555030447,0.000651191894698779,0.0011740238486155873,0.0006576219762442787,0.0007739998748400702,0.0010594228221780572,0.000704245019501203,0.0005723366262000987,0.0007057715621735322,0.00019629980748556443,0.0
ingewikkeld,0.00045636225551854565,0.0,0.0,0.0003905562092948866,0.0,0.0011527489499257382,0.0006636343556345385,0.0,0.00044478564289524475,0.0004282062294711289,0.0014116290107141455,0.0007847925713275342,0.0,0.00044478564289524475,0.0009003903960230766,0.0004233093348520182,0.0015788836328366747,0.0,0.0,0.0014359674419333547,0.0013985912952499508,0.0008755438804955015,0.001517742353205186,0.00047321654336440104,0.0002600659223485857,0.0,0.0005364644871635077,0.0,0.0,0.0005552407442142305,0.0,0.00028620656918259304,0.0008947478420641137,0.0006035225480589462,0.0004968597263662018,0.0,0.0007088179713373155,0.0,0.0014056727701626088,0.0005321796270423934,0.0007795891884443175,0.00026801644933912975,0.000757720500064909,0.0008092577648466518,0.0007652628940165505,0.00046141890100905584,0.0,0.0002410596574012578,0.0006135256842146194,0.00030013013200769217,0.0005922567938285126,0.0,0.0,0.0013199066819672674,0.00048177071081495054,0.0012009533039961727,0.0005205381977008411,0.00024071130529518663,0.0005356020040651741,0.0
maandag,0.004198566770679375,0.004175686297814638,0.0034055041584399384,0.0011977154132848551,0.0007798864484976957,0.003535125423986095,0.0,0.007759376563534036,0.000682010178592778,0.0019697646160642315,0.0,0.0,0.0,0.001364020357185556,0.0,0.0006490795727649184,0.0006052436300544914,0.0006103054047383402,0.0,0.0007339448617327453,0.0008578096116977174,0.0033562787369644594,0.0,0.000725604579213055,0.0,0.0,0.008225855455168933,0.0,0.0,0.0,0.0,0.0,0.0018292770770492058,0.0,0.0003809288767829908,0.0,0.001086863029289342,0.0,0.0,0.0024480461202843005,0.002390759549606821,0.0,0.0027109775332539313,0.0004136239868550532,0.0003911375373399623,0.0014150294287146557,0.001247945334933202,0.0018481390150723253,0.0,0.0004602032646540457,0.0,0.003274523229269171,0.003209855804633694,0.0004047746622551432,0.0,0.0,0.0019954125928359013,0.0007381873175809114,0.00041063153035851346,0.0
onderdeel,0.0008611077526333892,0.0,0.0,0.0014738772788332334,0.0,0.0007250388228631766,0.0,0.0,0.0008392638977601791,0.0016159605640677997,0.0,0.0007404106706977315,0.002384103638770066,0.0033570555910407162,0.004247355806907933,0.0007987403550474894,0.0,0.0,0.0,0.0018063467224780864,0.0005277990423361663,0.0,0.0,0.0,0.0009814342848124499,0.0010932324511693462,0.0,0.0011346726704374985,0.0,0.0005238405495186451,0.0,0.0005400418036274692,0.0005627651382474253,0.0011387838033014024,0.0,0.0,0.000668732616406781,0.0,0.0005304714425505266,0.0,0.0014710031031724823,0.0,0.0,0.0005089948659290478,0.0,0.001305973669160057,0.0010237926049224335,0.0,0.0005788293364846907,0.0,0.0011175265056397761,0.0,0.0016928419912631259,0.0019924204736049894,0.0,0.0,0.0004911005151737298,0.0013625910247594814,0.001515937281565211,0.0
idlib,0.005608691181126165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deel,0.0002774304987828412,0.0,0.0004500539202477202,0.00023742586648472927,0.0,0.0,0.0012103043672000444,0.0010254393119568308,0.0005407857519665529,0.00026031396415356566,0.0,0.001431266884180029,0.0005120714642515148,0.00027039287598327647,0.0,0.0010293482292832229,0.0,0.00024196447325146246,0.0,0.0002909831380911984,0.0001700455618064434,0.0,0.0,0.0005753530230439605,0.0006323942673270073,0.0,0.00032612602916501463,0.0003655672637391229,0.00022329025811628896,0.0008438511004644753,0.0020456996374896372,0.0008699495881077066,0.0005439326699502438,0.00036689178281064144,0.0006040992218090203,0.0,0.0006463540343983216,0.001977776016713614,0.0015381589679352463,0.0009705635660294285,0.0012638019601340037,0.001466386465811156,0.0004606313816030495,0.0013118980671188605,0.0013956495995430833,0.0012622703441850878,0.0003298440783574497,0.0013188989703352147,0.000559459293125619,0.000364908583984638,0.0010801294085945284,0.0006491162311265195,0.0016361924389616397,0.0022467034053570817,0.001025068581909124,0.0010221123639367834,0.0011075545693596239,0.0007316628038709324,0.0006512034215803025,0.00045409027827684773
type,0.0018091982403752177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007778060750729734,0.0008348386317787035,0.0008816520129999391,0.002677124423257924,0.0008390817760317084,0.0,0.0,0.0012050316747024717,0.0018975786141866508,0.0011089124395246926,0.0017354989690852942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011005955962282575,0.0006670276340777318,0.0028365865882171585,0.001773564971540612,0.0,0.001969746033518134,0.0011484475786729643,0.0014050156547594777,0.0006448802321649946,0.0011145271860539317,0.0,0.0005150993430085448,0.0,0.0005006500058657729,0.0,0.0,0.0009146223791370561,0.0016132508739502144,0.001911309284332719,0.0,0.0,0.0,0.0,0.0005927803929416109,0.0010465251311203717,0.0004774818204894826,0.0009522096001974829,0.0010318083714639915,0.0023856840958705002,0.0026541694442803634,0.0
