;Version;Date_of_report;Date_of_statistics;IC_admission_notification;IC_admission
243;1;2022-02-03 00:30:00;2020-10-27;51;50
244;1;2022-02-03 00:30:00;2020-10-28;53;51
245;1;2022-02-03 00:30:00;2020-10-29;55;46
246;1;2022-02-03 00:30:00;2020-10-30;38;42
247;1;2022-02-03 00:30:00;2020-10-31;41;48
248;1;2022-02-03 00:30:00;2020-11-01;51;43
249;1;2022-02-03 00:30:00;2020-11-02;49;60
250;1;2022-02-03 00:30:00;2020-11-03;48;31
251;1;2022-02-03 00:30:00;2020-11-04;40;40
252;1;2022-02-03 00:30:00;2020-11-05;36;36
253;1;2022-02-03 00:30:00;2020-11-06;36;35
254;1;2022-02-03 00:30:00;2020-11-07;34;39
255;1;2022-02-03 00:30:00;2020-11-08;41;44
256;1;2022-02-03 00:30:00;2020-11-09;51;41
257;1;2022-02-03 00:30:00;2020-11-10;31;37
258;1;2022-02-03 00:30:00;2020-11-11;44;36
259;1;2022-02-03 00:30:00;2020-11-12;35;41
260;1;2022-02-03 00:30:00;2020-11-13;41;31
261;1;2022-02-03 00:30:00;2020-11-14;24;22
262;1;2022-02-03 00:30:00;2020-11-15;23;34
263;1;2022-02-03 00:30:00;2020-11-16;39;36
264;1;2022-02-03 00:30:00;2020-11-17;33;30
265;1;2022-02-03 00:30:00;2020-11-18;29;31
266;1;2022-02-03 00:30:00;2020-11-19;40;39
267;1;2022-02-03 00:30:00;2020-11-20;27;28
268;1;2022-02-03 00:30:00;2020-11-21;26;20
269;1;2022-02-03 00:30:00;2020-11-22;23;25
270;1;2022-02-03 00:30:00;2020-11-23;26;26
271;1;2022-02-03 00:30:00;2020-11-24;25;34
272;1;2022-02-03 00:30:00;2020-11-25;43;41
273;1;2022-02-03 00:30:00;2020-11-26;36;30
274;1;2022-02-03 00:30:00;2020-11-27;18;18
275;1;2022-02-03 00:30:00;2020-11-28;22;21
276;1;2022-02-03 00:30:00;2020-11-29;14;18
277;1;2022-02-03 00:30:00;2020-11-30;29;24
278;1;2022-02-03 00:30:00;2020-12-01;29;30
279;1;2022-02-03 00:30:00;2020-12-02;27;30
280;1;2022-02-03 00:30:00;2020-12-03;27;30
281;1;2022-02-03 00:30:00;2020-12-04;29;33
282;1;2022-02-03 00:30:00;2020-12-05;19;25
283;1;2022-02-03 00:30:00;2020-12-06;29;28
284;1;2022-02-03 00:30:00;2020-12-07;26;21
285;1;2022-02-03 00:30:00;2020-12-08;36;40
286;1;2022-02-03 00:30:00;2020-12-09;27;32
287;1;2022-02-03 00:30:00;2020-12-10;37;33
288;1;2022-02-03 00:30:00;2020-12-11;38;36
289;1;2022-02-03 00:30:00;2020-12-12;29;22
290;1;2022-02-03 00:30:00;2020-12-13;22;42
291;1;2022-02-03 00:30:00;2020-12-14;43;24
292;1;2022-02-03 00:30:00;2020-12-15;38;45
293;1;2022-02-03 00:30:00;2020-12-16;41;36
294;1;2022-02-03 00:30:00;2020-12-17;38;48
295;1;2022-02-03 00:30:00;2020-12-18;46;38
296;1;2022-02-03 00:30:00;2020-12-19;28;43
297;1;2022-02-03 00:30:00;2020-12-20;44;54
298;1;2022-02-03 00:30:00;2020-12-21;62;32
299;1;2022-02-03 00:30:00;2020-12-22;35;43
300;1;2022-02-03 00:30:00;2020-12-23;43;48
301;1;2022-02-03 00:30:00;2020-12-24;48;49
302;1;2022-02-03 00:30:00;2020-12-25;33;35
303;1;2022-02-03 00:30:00;2020-12-26;44;42
304;1;2022-02-03 00:30:00;2020-12-27;47;44
305;1;2022-02-03 00:30:00;2020-12-28;64;68
306;1;2022-02-03 00:30:00;2020-12-29;59;61
307;1;2022-02-03 00:30:00;2020-12-30;49;45
308;1;2022-02-03 00:30:00;2020-12-31;47;39
309;1;2022-02-03 00:30:00;2021-01-01;36;40
310;1;2022-02-03 00:30:00;2021-01-02;41;39
311;1;2022-02-03 00:30:00;2021-01-03;42;45
312;1;2022-02-03 00:30:00;2021-01-04;66;58
