words,2020-09-01,2020-09-18,2020-09-28,2020-10-13,2020-10-27,2020-11-03,2020-11-17,2020-12-08,2021-01-12,2021-01-20,2021-02-03,2021-02-23,2021-03-08,2021-03-23,2021-04-14,2021-04-20,2021-05-11,2021-05-28,2021-06-18,2021-07-09,2021-07-13,2021-08-13,2021-09-14,2021-11-03,2021-11-12,2021-11-27,2021-12-14,2021-12-18,2022-01-14
ziekte,0.0006319108102593249,0.0,0.00032823635727251147,0.0005444154673003415,0.0,0.00038907178684029637,0.0,0.0,0.0014628486473719803,0.0,0.00029303119592467115,0.0002754362909062142,0.0005893157120261428,0.0016649599242680344,0.0007557224876592875,0.0,0.0013260655118932298,0.0,0.00032969259665703907,0.00032366163452306884,0.0,0.00032823635727251147,0.0008654430662247276,0.0021293040483236847,0.0002635202527889951,0.0008509089078606481,0.0,0.0005916617140644634,0.00041011430069810487
thuis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collega,0.00054893434058342,0.0005677632229781021,0.0,0.00023646402363593482,0.000559399293350175,0.0,0.000926622178745601,0.000265220535959779,0.0005083045547449622,0.0005000362389822634,0.0002545531484724377,0.0016748804639298421,0.00025596621115230055,0.0014463333484528052,0.0,0.0,0.0006911635808630643,0.00029131172586917964,0.0002864005255217844,0.0008434844745550114,0.0,0.0,0.0005012009196631227,0.0002312130317070566,0.0,0.0009855676099635145,0.0009176215842588515,0.0,0.00035626202236539847
3,0.00054893434058342,0.0005677632229781021,0.001425677527663653,0.0,0.0,0.0003379826096995299,0.002779866536236803,0.0,0.0007624568321174433,0.0002500181194911317,0.001781872039307064,0.0014356118262255789,0.00025596621115230055,0.0014463333484528052,0.0013129765109005465,0.0012880023633800918,0.0020734907425891927,0.002330493806953437,0.0,0.0005623229830366743,0.0,0.0,0.0,0.0006936390951211699,0.0027470075937280937,0.0004927838049817573,0.0009176215842588515,0.0015419111095368678,0.0
nachtclub,0.0024173225866176203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011192013235678433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002565678124424478,0.0012612117843222369,0.004952563348192198,0.0,0.00753384636535951,0.0022071206225639144,0.0,0.0,0.0,0.0,0.0,0.0
kun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zorgen,0.00017903734597586832,0.0001234523124407043,0.0003409933903922015,0.0004113268256266103,6.0816845426811425e-05,0.00014697934999484898,0.000335802103457131,0.0004325142129573154,0.00030394056529446623,0.0004077225384733175,0.0003874435941307435,5.202567800040058e-05,8.348450391261742e-05,0.00010482843856988856,7.13721758873292e-05,0.00016803505097176468,0.00047589941214427813,0.0001583543312782951,0.0001556846486746681,9.170205525593257e-05,0.0,0.00015499699563281888,0.0006266307109155391,0.0004273298257819436,0.0005226366780401943,0.0002142981362520317,0.00027434578388342015,0.00030732843783755744,0.00015492856428816863
suggereren,0.0012086612933088102,0.0012501193323932814,0.0,0.0,0.0,0.0,0.0013601776851015893,0.0,0.0,0.0011009958798847102,0.0,0.0,0.0,0.0,0.0009636513091058719,0.0011343860183010064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015688583674736876
buurman,0.0019291526711890852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017991146243603205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001625131476589086,0.0,0.0,0.0,0.0,0.0
redelijk,0.0008243202016905641,0.0,0.0017127218324878154,0.0,0.0,0.0,0.0,0.0007965493485522625,0.0,0.0,0.0007645114804322583,0.0,0.0,0.0007239735303869332,0.0013144414334753946,0.0,0.0,0.0,0.0,0.0,0.0,0.005138165497463446,0.0007526401841522542,0.0,0.0020625543769959647,0.0007400004253344301,0.0,0.0007718157302453053,0.0
